内容,所要,予算,場所
"家の外に出て、1分だけ空を見上げる。","1分","0円","屋外"
"コンビニで普段買わないものを1つ選ぶ。","5分","〜500円","屋外"
"机の上のものを3つだけ整える。","3分","0円","室内"
"最近連絡していない人スタンプだけ送る。","2分","0円","室内"
"ホーム画面の不要アプリを1つ移動する。","2分","0円","室内"
"今の気分を一言だけメモする。","1分","0円","室内"
"近所を5分だけ歩いて戻る。","5分","0円","屋外"
"キッチンのシンクを30秒だけ流す。","1分","0円","室内"
"ネットで気になる本の試し読みページを開く。","4分","0円","室内"
"ありがとうを1人に送る。","2分","0円","室内"
"写真フォルダから不要な画像を5枚削除する。","3分","0円","室内"
"今日中にやりたいことを1つだけ決める。","5分","0円","室内"
"知らない道を1本だけ通って帰る。","10分","0円","屋外"
"飲み物を1杯つくってゆっくり飲む。","4分","0円","室内"
"明日使うタブを1つだけブックマークする。","2分","0円","室内"
"100円以内で小さなご褒美を探す。","8分","〜100円","屋外"

